,Organization - ID,Organization - Name,Organization - Website,Organization - CB Description,Organization - Company Type,Organization - CB Industries,Organization - Employee Range,Organization - New Industry,Keyword,MetaKeyword,MetaDescription,web_description,web_keywords
0,440,Aston Martin Lagonda,https://www.astonmartin.comen-us/,Aston Martin Lagonda Global Holdings manufacture luxury sports cars and grand tourers independently.,Acquirer,"Automotive, Leisure, Manufacturing, Product Design, Recreational Vehicles",1001-5000,Automotive - Car Manufacturing,,,,,
1,898,Fiat Chrysler Auto,https://www.fcagroup.comen-US/Pages/home.aspx,"Fiat Chrysler Automobiles designs, engineers, manufactures and sells vehicles and related parts, services, and production systems worldwide.",Acquirer,"Automotive, Industrial Manufacturing, Manufacturing, Transportation",10001+,Automotive - Car Manufacturing,,,,,
2,930,Ford Motor Company,https://www.ford.com,"Ford Motor Company, an automotive company, develops, manufactures, and distributes vehicles, parts, and accessories worldwide.",Acquirer,"Apps, Automotive, Manufacturing, Transportation",10001+,Automotive - Car Manufacturing,access,,,"FordÂ® is Built for America. Discover the latest lineup in new Ford vehicles! Explore hybrid & electric vehicle options, see photos, build & price, search inventory, view pricing & incentives & see the latest technology & news happening at Ford.",
3,965,General Motors Company,https://www.gm.com,"General Motors is a Detroit-based mutinational corporation that manufactures, markets, and distributes vehicles and vehicle parts.",Acquirer,"Automotive, Enterprise Software, Manufacturing, Transportation",10001+,Automotive - Car Manufacturing,access,,,"General Motors is home to Chevrolet, Buick, GMC & Cadillac. Learn about GM’s rich history and dedication to innovation, inclusion, sustainability and safety.",
4,296,AARP,http://www.aarp.org,,Acquirer,,,"Civic, Non-Profit and Membership Groups","benefits, website, leaving, provider, cancel, conditions, terms, learn, going, return, apply, policies, trusted, member, membership, community, health, email, renew, discounts, magazine, center, family, subscription, services, social, programs, security, caregiving, receive, state, watch, hundreds, policy, partner, travel, information, resources, spouse, coronavirus, safety, medicare, members, start, events, update, entertainment, change, search, volunteering, privacy, games, resource, sharp, staying, insurance, living, interests, election, getting, volunteer, career, retirement, nursing, voting, wellness, advocacy, government, local, javascript, aarp org, leaving aarp, learn more, cancel continue, org website, our trusted, policies apply, about other, more about, please return, apply please, the provider, close you, and policies, the website, provider the, trusted provider, conditions and, you are, are leaving, org and, and going, other benefits, terms conditions, benefits cancel, website close, member benefits, the magazine, aarp the, for your, membership for, social security, programs and, discounts programs, your spouse, and services, services subscription, magazine free, free membership, get card, your member, your email, family caregiving, benefits today, renew now, join now, today save, staying sharp, resource center, work jobs, your state, health wellness, thank you, update interests, info update, edit info, card edit, now get, view benefits, today hundreds, getting your, start getting, renew today, your membership, continue aarp, and policies apply, learn more about, our trusted provider, are leaving aarp, apply please return, policies apply please, about other benefits, more about other, benefits cancel continue, other benefits cancel, org website close, for your spouse, magazine free membership, the magazine free, and services subscription, your member benefits, start getting your, info update interests, getting your member, edit info update, card edit info, get card edit, benefits today hundreds, member benefits today, cancel continue aarp",,,"AARP is the nation's largest nonprofit, nonpartisan organization dedicated to empowering Americans 50 and older to choose how they live as they age.","aarp, real possibilities, baby boomers, driver safety, over 50, medicaid, medicare, online games, travel deals, caregivers, election news, retirement calculator, retirement plan, social security, online community "
5,338,AFL-CIO,http://aflcio.org,,Acquirer,,,"Civic, Non-Profit and Membership Groups","union, workers, september, unions, workplace, worker, labor, press, rights, search, action, benefits, movement, service, learn, health, america, justice, covid, death, social, organizing, corporate, ready, power, working, postal, solidarity, spotlight, aflcio, legislative, afl cio, what unions, care about, take action, union plus, plus benefits, are you, the afl, the job, and the, organizing wins, labor movement, union plus benefits",,,,
6,376,American Cancer Society,http://www.cancer.org,,Acquirer,,,"Civic, Non-Profit and Membership Groups","cancer, research, treatment, information, support, society, explore, american, breast, volunteer, healthy, email, making, stories, volunteers, lives, location, donate, partners, patients, programs, world, reduce, learn, health, prevention, involved, statistics, helpline, celebrate, rides, relay, twitter, facebook, lodge, communities, fight, mission, community, fundraising, angle, living, strides, million, atlas, privacy, facts, document, place, latest, memorial, chat4972879359643679338, toolbar, scrollbars, statusbar, menubar, resizable, width, height, return, false, honor, search, survivor, types, diagnosis, escape, topics, basics, screening, advice, effects, family, story, expert, giving, american cancer, cancer society, for email, breast cancer, cancer information, reduce your, our research, cancer research, our volunteers, save lives, the american, for life, get involved, treatment support, hope lodge, you can, relay for, whether you, read more, live chat, lives and, explore our, end cancer, document location, escape document, url escape, our partners, 227 2345, against cancer, more than, cancer from, from every, every angle, 800 227, cancer helpline, cancer patients, making strides, and better, location href, false live, height 480, can help, cancer types, return false, more topics, 480 return, cancer news, stay healthy, 640 height, href chat4972879359643679338, width 640, cancer prevention, chat4972879359643679338 toolbar, side effects, stay when, when treatment, cancer risk, risk our, help reduce, american cancer society, the american cancer, url escape document, escape document location, document location href, location href chat4972879359643679338, href chat4972879359643679338 toolbar, 480 return false, return false live, false live chat, help reduce your, stay when treatment, from every angle",,,"Dedicated to helping people who face cancer. Learn about cancer research, patient services, early detection, treatment and education at cancer.org.",
7,377,American Association for the Advancement of Science,https://www.aaas.org,,Acquirer,,,"Civic, Non-Profit and Membership Groups","science, public, programs, september, office, careers, change, support, university, journals, credit, photo, members, search, scientific, member, american, center, toggle, submenu, membership, policy, links, family, sites, rights, human, association, equity, fellows, engagement, coronavirus, students, covid, advancement, systemic, september 2020, public programs, more office, credit the, photo credit, more photo, read more, for the, sea change, more aaas, submenu toggle, support aaas, aaas aaas, science family, association for, search search, public engagement, human rights, the new, science more, the advancement, american association, read more photo, more photo credit",,,,
8,378,American Chemistry Society,https://www.acs.org,,Acquirer,,,"Civic, Non-Profit and Membership Groups","chemistry, awards, career, resources, education, world, chemical, explore, science, diversity, global, advancing, discover, transforming, power, improve, strength, scientific, numbers, broader, learn, enterprise, practitioners, benefit, earth, people, difference, events, advance, excellence, educators, support, false, meetings, professional, hidden, title, inclusion, respect, american, research, background, latest, browser, color, tabindex, 450px, height, students, funding, communities, membership, donate, style, renew, class, society, community, videos, achievements, student, personal, grants, careers, national, privacy, promote, economy, information, technical, and its, view all, your career, the world, are strength, improve the, enterprise and, numbers advancing, chemistry enterprise, broader chemistry, the broader, advancing the, through the, world through, the transforming, practitioners for, for the, the benefit, transforming power, green chemistry, earth and, its people, its practitioners, data dot, difference improve, inclusion respect, diversity inclusion, false title, hidden false, aria hidden, 450px background, height 450px, style height, item style, class item, div class, learn more, the global, join acs, advance your, background color, american chemical, promote excellence, global economy, scientific resources, acs scientific, with acs, more with, chemical society, discover chemistry, chemistry and, students educators, the latest, meetings events, discover more, broader chemistry enterprise, the broader chemistry, the transforming power, the world through, aria hidden false, diversity inclusion respect, advance your career, hidden false title, 450px background color, height 450px background, style height 450px, item style height, class item style, div class item, discover more with, acs scientific resources, the global economy, american chemical society",,,"ACS is one of the world’s largest scientific society and the premier home of chemistry professionals. Find career opportunities, educational resources and more.",
9,380,American Diabetes Association,https://www.diabetes.org,,Acquirer,,,"Civic, Non-Profit and Membership Groups","diabetes, overview, learn, community, fitness, research, advocacy, https, resources, covid, insulin, health, education, treatment, understanding, nutrition, prediabetes, involved, rights, donate, connectedforlife, superfooter, read more, learn more, diabetes education, get involved, you can, with diabetes, view post, https www, loc superfooter, superfooter https, loc superfooter https",,,,
